rsr_filename,snr0 (dBHz)
co-s-rss-1-sroc2-v10/cors_0118/sroc2_196/rsr/s12sroe2005196_0505nnns43rd.2b2, 42.1353
co-s-rss-1-sroc2-v10/cors_0118/sroc2_196/rsr/s12sroe2005196_0505nnnx34rd.1a2, 47.2102
co-s-rss-1-sroc2-v10/cors_0118/sroc2_196/rsr/s12sroe2005196_0505nnnx43rd.2a2, 52.5218
co-s-rss-1-sroc2-v10/cors_0118/sroc2_196/rsr/s12sroe2005196_0610nnnk55rd.1b2, 48.6742
co-s-rss-1-sroc2-v10/cors_0119/sroc2_196/rsr/s12sroe2005196_0610nnns63rd.2b2, 41.8424
co-s-rss-1-sroc2-v10/cors_0119/sroc2_196/rsr/s12sroe2005196_0610nnnx55rd.1a2, 47.8017
co-s-rss-1-sroc2-v10/cors_0119/sroc2_196/rsr/s12sroe2005196_0610nnnx63rd.2a2, 53.3000
co-s-rss-1-sroc2-v10/cors_0120/sroc2_214/rsr/s13sroe2005214_1255nnnk55rd.1b2, 49.2262
co-s-rss-1-sroc2-v10/cors_0120/sroc2_214/rsr/s13sroe2005214_1255nnns63rd.2b2, 41.8946
co-s-rss-1-sroc2-v10/cors_0120/sroc2_214/rsr/s13sroe2005214_1255nnnx55rd.1a2, 48.6156
co-s-rss-1-sroc2-v10/cors_0120/sroc2_214/rsr/s13sroe2005214_1255nnnx63rd.2a2, 54.4723
co-s-rss-1-sroc2-v10/cors_0121/sroc2_214/rsr/s13sroe2005214_1305nnns14rd.1b2, 42.8343
co-s-rss-1-sroc2-v10/cors_0121/sroc2_214/rsr/s13sroe2005214_1305nnnx14rd.1a2, 53.5415
co-s-rss-1-sroc2-v10/cors_0122/sroc2_214/rsr/s13sroi2005214_0805nnnk55rd.1b2, 49.2705
co-s-rss-1-sroc2-v10/cors_0122/sroc2_214/rsr/s13sroi2005214_0805nnns63rd.2b2, 42.6740
co-s-rss-1-sroc2-v10/cors_0122/sroc2_214/rsr/s13sroi2005214_0805nnnx55rd.1a2, 47.3298
co-s-rss-1-sroc2-v10/cors_0122/sroc2_214/rsr/s13sroi2005214_0805nnnx63rd.2a2, 54.4211
co-s-rss-1-sroc2-v10/cors_0123/sroc2_232/rsr/s13rioe2005232_1845nnnk25rd.1b2, 48.1325
co-s-rss-1-sroc2-v10/cors_0123/sroc2_232/rsr/s13rioe2005232_1845nnnk26rd.3b2, 49.1374
